AppStream ID,Parent,Classifier,Name,Summary
Lohit-Tamil.ttf,Lohit,,^,^
Lohit-Tamil-Classical.ttf,Lohit,,^,^
Loma-Oblique.ttf,,,,Thai Loma fonts
mplus-1c-black.ttf,,Black,M+ C,A font which is optimized to be proportioned
mplus-1c-bold.ttf,,Bold,^,^
mplus-1c-heavy.ttf,,Heavy,^,^
mplus-1c-light.ttf,,Light,^,^
mplus-1c-medium.ttf,,Medium,^,^
mplus-1c-regular.ttf,,Regular,^,^
mplus-1c-thin.ttf,,Thin,^,^
mplus-1m-bold.ttf,,Bold,M+ 1M,A font which emphasizes the balance of natural letterform with high legibility
mplus-1m-light.ttf,,Light,^,^
mplus-1m-medium.ttf,,Medium,^,^
mplus-1m-regular.ttf,,Regular,^,^
mplus-1m-thin.ttf,,Thin,^,^
mplus-1mn-bold.ttf,,Bold,M +MN,A font which emphasizes the balance of natural letterform with high legibility
mplus-1mn-light.ttf,,Light,^,^
mplus-1mn-medium.ttf,,Medium,^,^
mplus-1mn-regular.ttf,,Regular,^,^
mplus-1mn-thin.ttf,,Thin,^,^
mplus-1p-black.ttf,,Black,M+ P,A font which is aimed as sophisticated and relaxed design
mplus-1p-bold.ttf,,Bold,^,^
mplus-1p-heavy.ttf,,Heavy,^,^
mplus-1p-light.ttf,,Light,^,^
mplus-1p-medium.ttf,,Medium,^,^
mplus-1p-regular.ttf,,Regular,^,^
mplus-1p-thin.ttf,,Thin,^,^
mplus-2c-black.ttf,,Black,M+ C,A font which is optimized to be proportioned
mplus-2c-bold.ttf,,Bold,^,^
mplus-2c-heavy.ttf,,Heavy,^,^
mplus-2c-light.ttf,,Light,^,^
mplus-2c-medium.ttf,,Medium,^,^
mplus-2c-regular.ttf,,Regular,^,^
mplus-2c-thin.ttf,,Thin,^,^
mplus-2m-bold.ttf,,Bold,M+ 2M,A font which emphasizes the balance of natural letterform with high legibility
mplus-2m-light.ttf,,Light,^,^
mplus-2m-medium.ttf,,Medium,^,^
mplus-2m-regular.ttf,,Regular,^,^
mplus-2m-thin.ttf,,Thin,^,^
mplus-2p-black.ttf,,Black,M+ P,A font with a sophisticated and relaxed design
mplus-2p-bold.ttf,,Bold,^,^
mplus-2p-heavy.ttf,,Heavy,^,^
mplus-2p-light.ttf,,Light,^,^
mplus-2p-medium.ttf,,Medium,^,^
mplus-2p-regular.ttf,,Regular,^,^
mplus-2p-thin.ttf,,Thin,^,^
ManchuFont2005.ttf,,,Manchu,A Manchu font
Meera.ttf,,Sans,,Meera Malayalam traditional lipi font
eeyek.ttf,,,Meetei Mayek,A font for Meetei Mayek script
MgOpenCanonicaRegular.ttf,,Serif,,A variable-stroke-width serif font faces
MgOpenCosmeticaOblique.ttf,,Sans,,A variable-stroke-width sans serif font
MgOpenModataOblique.ttf,,Sans,,A set of fixed-stroke-width sans serif font faces
MgOpenModernaOblique.ttf,,Sans,,A set of fixed-stroke-width sans serif font faces
Mingzat-R.ttf,,,,A font for Lepcha script
MiriamCLM-Book.ttf,Miriam,,,A set of fonts for Hebrew from Culmus project
MiriamMonoCLM-Book.ttf,Miriam,Mono,Miriam,^
Molengo-Regular.ttf,,,,A Latin font for documents
mona-VLGothic.ttf,,,Mona VLGothic,True Type Japanese font for text arts based on VLGothic
mona-sazanami.ttf,,,Mona Sazanami,True Type Japanese font for text arts based on Sazanami
mngltitleotf.ttf,,,,Mongolian title font
MTLc3m.ttf,Motoya,Cedar,Motoya,A set of Japanese Gothic-font fonts
MTLmr3m.ttf,Motoya,Maru,^,^
mscore-MuseJazz.ttf,,,,MuseScore fonts
MuseumFourteen.otf,Museum,Regular,,Based on historical metal Centaur fonts
MuseumBible.otf,Museum,Bible,Museum,^
MuseumFoundry.otf,Museum,Foundry,Museum,^
MusiQwik.ttf,Musi,Quik,Musi,A musical notation font family intended for writing lines of actual music
MusiSync.ttf,Musi,Sync,^,^
mutante.ttf,,,,Mutante font used by the HUD in cave9 game
